fecha,cod_ine,municipio,confirmados
2020-03-27,10101,Sucre,1
2020-04-23,10101,Sucre,1
2020-04-27,10101,Sucre,1
2020-05-01,10902,Culpina,1
2020-05-04,10101,Sucre,1
2020-05-05,10101,Sucre,1
2020-05-07,10101,Sucre,5
2020-05-09,10101,Sucre,3
2020-05-10,10101,Sucre,1
2020-05-16,10501,Monteagudo,1
2020-05-17,10304,Villa Ricardo Mugia - Icla,1
2020-05-20,10101,Sucre,2
2020-05-23,10101,Sucre,1
2020-05-23,10501,Monteagudo,1
2020-05-25,10101,Sucre,1
2020-05-27,10101,Sucre,1
2020-05-27,10501,Monteagudo,2
2020-05-31,11001,Villa Vaca Guzmán,1
2020-06-01,10101,Sucre,1
2020-06-01,10501,Monteagudo,1
2020-06-02,11001,Villa Vaca Guzmán,1
2020-06-03,10501,Monteagudo,2
2020-06-04,10101,Sucre,1
2020-06-05,10101,Sucre,6
2020-06-06,10101,Sucre,1
2020-06-08,10102,Yotala,1
2020-06-08,10501,Monteagudo,3
2020-06-10,10101,Sucre,14
2020-06-10,10501,Monteagudo,3
2020-06-10,11001,Villa Vaca Guzmán,1
2020-06-11,10101,Sucre,12
2020-06-11,11001,Villa Vaca Guzmán,1
2020-06-12,10101,Sucre,8
2020-06-12,10202,Tarvita,1
2020-06-12,10501,Monteagudo,2
2020-06-13,10101,Sucre,13
2020-06-13,10303,Mojocoya,1
2020-06-13,10601,Tarabuco,1
2020-06-14,10101,Sucre,2
2020-06-15,10101,Sucre,8
2020-06-15,10303,Mojocoya,1
2020-06-15,10501,Monteagudo,5
2020-06-15,11001,Villa Vaca Guzmán,1
2020-06-16,10101,Sucre,10
2020-06-16,10501,Monteagudo,1
2020-06-16,11001,Villa Vaca Guzmán,1
2020-06-17,10101,Sucre,1
2020-06-17,10404,Alcalá,3
2020-06-17,10501,Monteagudo,1
2020-06-18,10101,Sucre,46
2020-06-18,10102,Yotala,2
2020-06-18,10401,Padilla,1
2020-06-18,10902,Culpina,2
2020-06-19,10101,Sucre,9
2020-06-19,10401,Padilla,1
2020-06-19,10801,Villa Serrano,1
2020-06-20,10101,Sucre,51
2020-06-20,10303,Mojocoya,1
2020-06-20,10304,Villa Ricardo Mugia - Icla,3
2020-06-20,10602,Yamparáez,1
2020-06-20,10902,Culpina,1
2020-06-21,10101,Sucre,37
2020-06-21,10202,Tarvita,3
2020-06-21,10401,Padilla,3
2020-06-21,10404,Alcalá,1
2020-06-21,10602,Yamparáez,2
2020-06-21,10902,Culpina,1
2020-06-21,11001,Villa Vaca Guzmán,1
2020-06-23,10101,Sucre,58
2020-06-23,10501,Monteagudo,3
2020-06-23,10703,Incahuasi,11
2020-06-23,10704,Villa Charcas,2
2020-06-23,10902,Culpina,7
2020-06-24,10101,Sucre,31
2020-06-24,10401,Padilla,1
2020-06-24,10402,Tomina,5
2020-06-24,10404,Alcalá,1
2020-06-24,10801,Villa Serrano,2
2020-06-25,10101,Sucre,44
2020-06-25,10405,El Villar,1
2020-06-25,10501,Monteagudo,2
2020-06-25,11001,Villa Vaca Guzmán,1
2020-06-26,10101,Sucre,48
2020-06-26,10302,Presto,1
2020-06-26,10403,Sopachui,2
2020-06-26,10601,Tarabuco,1
2020-06-26,10602,Yamparáez,1
2020-06-26,10701,Camargo,1
2020-06-27,10101,Sucre,48
2020-06-27,10202,Tarvita,1
2020-06-27,10301,Zudañez,1
2020-06-27,10704,Villa Charcas,2
2020-06-27,10902,Culpina,1
2020-06-27,11001,Villa Vaca Guzmán,1
2020-06-28,10101,Sucre,50
2020-06-28,10304,Villa Ricardo Mugia - Icla,1
2020-06-28,10401,Padilla,3
2020-06-28,10402,Tomina,1
2020-06-28,10801,Villa Serrano,4
2020-06-29,10101,Sucre,6
2020-06-29,10403,Sopachui,1
2020-06-30,10101,Sucre,55
2020-06-30,10304,Villa Ricardo Mugia - Icla,3
2020-06-30,10501,Monteagudo,1
2020-06-30,11001,Villa Vaca Guzmán,4
2020-07-01,10101,Sucre,52
2020-07-01,10302,Presto,3
2020-07-01,10402,Tomina,1
2020-07-01,10404,Alcalá,1
2020-07-01,10602,Yamparáez,1
2020-07-01,10701,Camargo,1
2020-07-02,10101,Sucre,38
2020-07-02,10102,Yotala,1
2020-07-02,10304,Villa Ricardo Mugia - Icla,1
2020-07-02,10501,Monteagudo,2
2020-07-02,10902,Culpina,2
2020-07-02,11001,Villa Vaca Guzmán,1
2020-07-03,10101,Sucre,39
2020-07-03,10602,Yamparáez,1
2020-07-03,10902,Culpina,1
2020-07-04,10101,Sucre,50
2020-07-04,10102,Yotala,2
2020-07-04,10302,Presto,3
2020-07-04,10602,Yamparáez,6
2020-07-04,10703,Incahuasi,3
2020-07-04,10903,Las Carreras,1
