fecha,cod_ine,municipio,confirmados
2020-04-20,80101,Trinidad,2
2020-04-24,80101,Trinidad,31
2020-04-25,80101,Trinidad,5
2020-04-25,80501,San Ignacio,1
2020-04-26,80101,Trinidad,18
2020-04-27,80101,Trinidad,5
2020-04-28,80101,Trinidad,1
2020-04-29,80101,Trinidad,4
2020-05-01,80101,Trinidad,16
2020-05-02,80101,Trinidad,108
2020-05-03,80101,Trinidad,21
2020-05-07,80101,Trinidad,19
2020-05-08,80101,Trinidad,80
2020-05-08,80501,San Ignacio,1
2020-05-10,80101,Trinidad,7
2020-05-11,80101,Trinidad,68
2020-05-11,80202,Guayaramerín,2
2020-05-13,80101,Trinidad,41
2020-05-13,80602,San Andrés,6
2020-05-14,80101,Trinidad,69
2020-05-14,80602,San Andrés,4
2020-05-15,80101,Trinidad,36
2020-05-15,80202,Guayaramerín,3
2020-05-16,80101,Trinidad,3
2020-05-18,80101,Trinidad,28
2020-05-18,80202,Guayaramerín,2
2020-05-19,80101,Trinidad,95
2020-05-19,80202,Guayaramerín,1
2020-05-19,80501,San Ignacio,2
2020-05-20,80101,Trinidad,141
2020-05-20,80201,Riberalta,3
2020-05-20,80202,Guayaramerín,7
2020-05-20,80401,Santa Ana,1
2020-05-20,80602,San Andrés,1
2020-05-20,80702,San Ramón,1
2020-05-21,80101,Trinidad,60
2020-05-21,80202,Guayaramerín,8
2020-05-21,80302,San Borja,1
2020-05-22,80101,Trinidad,106
2020-05-22,80201,Riberalta,1
2020-05-22,80202,Guayaramerín,6
2020-05-23,80101,Trinidad,82
2020-05-25,80101,Trinidad,40
2020-05-25,80202,Guayaramerín,5
2020-05-26,80101,Trinidad,99
2020-05-26,80501,San Ignacio,1
2020-05-27,80101,Trinidad,103
2020-05-27,80202,Guayaramerín,8
2020-05-27,80401,Santa Ana,2
2020-05-28,80101,Trinidad,75
2020-05-28,80201,Riberalta,11
2020-05-28,80202,Guayaramerín,65
2020-05-29,80101,Trinidad,65
2020-05-29,80202,Guayaramerín,4
2020-05-29,80602,San Andrés,1
2020-05-30,80101,Trinidad,123
2020-05-30,80201,Riberalta,2
2020-05-30,80202,Guayaramerín,4
2020-05-30,80602,San Andrés,2
2020-05-31,80101,Trinidad,65
2020-05-31,80602,San Andrés,8
2020-05-31,80702,San Ramón,29
2020-06-01,80101,Trinidad,68
2020-06-01,80402,Exaltación,3
2020-06-01,80701,San Joaquín,2
2020-06-01,80702,San Ramón,3
2020-06-02,80101,Trinidad,66
2020-06-02,80501,San Ignacio,1
2020-06-02,80702,San Ramón,13
2020-06-03,80101,Trinidad,90
2020-06-03,80201,Riberalta,26
2020-06-03,80601,Loreto,1
2020-06-03,80702,San Ramón,19
2020-06-04,80101,Trinidad,169
2020-06-04,80201,Riberalta,2
2020-06-04,80401,Santa Ana,2
2020-06-04,80701,San Joaquín,3
2020-06-04,80702,San Ramón,1
2020-06-05,80101,Trinidad,145
2020-06-05,80602,San Andrés,3
2020-06-05,80701,San Joaquín,3
2020-06-06,80101,Trinidad,19
2020-06-06,80201,Riberalta,1
2020-06-06,80202,Guayaramerín,1
2020-06-06,80602,San Andrés,11
2020-06-06,80701,San Joaquín,10
2020-06-06,80702,San Ramón,1
2020-06-07,80101,Trinidad,34
2020-06-07,80202,Guayaramerín,3
2020-06-07,80601,Loreto,2
2020-06-08,80101,Trinidad,13
2020-06-08,80202,Guayaramerín,41
2020-06-09,80101,Trinidad,104
2020-06-09,80202,Guayaramerín,21
2020-06-09,80303,Santa Rosa,1
2020-06-09,80401,Santa Ana,1
2020-06-10,80101,Trinidad,36
2020-06-10,80201,Riberalta,9
2020-06-10,80202,Guayaramerín,39
2020-06-10,80401,Santa Ana,1
2020-06-10,80402,Exaltación,1
2020-06-11,80101,Trinidad,16
2020-06-11,80201,Riberalta,11
2020-06-11,80202,Guayaramerín,4
2020-06-12,80101,Trinidad,33
2020-06-12,80201,Riberalta,17
2020-06-12,80202,Guayaramerín,22
2020-06-12,80402,Exaltación,1
2020-06-12,80601,Loreto,2
2020-06-12,80701,San Joaquín,43
2020-06-13,80201,Riberalta,14
2020-06-13,80202,Guayaramerín,1
2020-06-13,80302,San Borja,1
2020-06-13,80701,San Joaquín,1
2020-06-14,80201,Riberalta,8
2020-06-14,80202,Guayaramerín,1
2020-06-14,80701,San Joaquín,1
2020-06-15,80201,Riberalta,2
2020-06-15,80202,Guayaramerín,6
