fecha,cod_ine,municipio,confirmados
2020-03-30,60101,Tarija,1
2020-04-12,60101,Tarija,1
2020-04-17,60101,Tarija,1
2020-05-04,60301,Yacuiba,1
2020-05-05,60101,Tarija,2
2020-05-08,60101,Tarija,3
2020-05-09,60101,Tarija,1
2020-05-12,60101,Tarija,3
2020-05-20,60101,Tarija,1
2020-05-21,60101,Tarija,3
2020-05-22,60303,Villa Montes,1
2020-05-25,60501,San Lorenzo,1
2020-05-28,60303,Villa Montes,3
2020-05-29,60101,Tarija,2
2020-05-30,60101,Tarija,6
2020-05-30,60201,Padcaya,1
2020-05-30,60302,Caraparí,1
2020-06-01,60101,Tarija,2
2020-06-01,60301,Yacuiba,2
2020-06-01,60303,Villa Montes,1
2020-06-03,60101,Tarija,1
2020-06-03,60301,Yacuiba,1
2020-06-03,60302,Caraparí,1
2020-06-04,60301,Yacuiba,4
2020-06-05,60101,Tarija,5
2020-06-06,60301,Yacuiba,9
2020-06-08,60101,Tarija,5
2020-06-08,60301,Yacuiba,2
2020-06-09,60101,Tarija,3
2020-06-10,60301,Yacuiba,1
2020-06-11,60101,Tarija,6
2020-06-11,60301,Yacuiba,2
2020-06-12,60101,Tarija,10
2020-06-13,60101,Tarija,9
2020-06-13,60301,Yacuiba,11
2020-06-13,60303,Villa Montes,3
2020-06-13,60601,Entre Ríos,2
2020-06-15,60101,Tarija,2
2020-06-15,60301,Yacuiba,6
2020-06-15,60302,Caraparí,1
2020-06-15,60303,Villa Montes,2
2020-06-16,60101,Tarija,15
2020-06-16,60301,Yacuiba,3
2020-06-16,60303,Villa Montes,8
2020-06-17,60101,Tarija,4
2020-06-17,60301,Yacuiba,21
2020-06-17,60303,Villa Montes,1
2020-06-18,60101,Tarija,13
2020-06-18,60301,Yacuiba,3
2020-06-19,60101,Tarija,14
2020-06-19,60301,Yacuiba,1
2020-06-20,60101,Tarija,10
2020-06-20,60301,Yacuiba,13
2020-06-20,60302,Caraparí,7
2020-06-20,60303,Villa Montes,1
2020-06-20,60501,San Lorenzo,2
2020-06-21,60101,Tarija,3
2020-06-21,60301,Yacuiba,1
2020-06-21,60601,Entre Ríos,3
2020-06-22,60101,Tarija,11
2020-06-22,60301,Yacuiba,11
2020-06-22,60302,Caraparí,3
2020-06-22,60303,Villa Montes,4
2020-06-23,60101,Tarija,16
2020-06-23,60202,Bermejo,1
2020-06-23,60301,Yacuiba,5
2020-06-23,60601,Entre Ríos,2
2020-06-24,60101,Tarija,22
2020-06-24,60201,Padcaya,1
2020-06-24,60301,Yacuiba,1
2020-06-24,60501,San Lorenzo,2
2020-06-24,60601,Entre Ríos,6
2020-06-25,60101,Tarija,36
2020-06-25,60301,Yacuiba,18
2020-06-25,60302,Caraparí,3
2020-06-25,60303,Villa Montes,2
2020-06-25,60501,San Lorenzo,2
2020-06-25,60502,El Puente,1
2020-06-26,60101,Tarija,24
2020-06-26,60202,Bermejo,1
2020-06-26,60301,Yacuiba,10
2020-06-26,60303,Villa Montes,1
2020-06-26,60502,El Puente,1
2020-06-26,60601,Entre Ríos,2
