fecha,cod_ine,municipio,confirmados
2020-03-28,90101,Cobija,1
2020-04-01,90101,Cobija,3
2020-04-02,90101,Cobija,2
2020-04-07,90101,Cobija,4
2020-04-11,90101,Cobija,1
2020-04-17,90101,Cobija,1
2020-05-24,90101,Cobija,1
2020-05-29,90101,Cobija,1
2020-06-03,90101,Cobija,8
2020-06-03,90203,Filadelfia,1
2020-06-06,90101,Cobija,24
2020-06-07,90101,Cobija,17
2020-06-07,90103,Bolpebra,1
2020-06-09,90101,Cobija,28
2020-06-09,90301,Puerto Gonzalo Moreno,1
2020-06-10,90101,Cobija,36
2020-06-11,90101,Cobija,43
2020-06-11,90203,Filadelfia,2
2020-06-12,90101,Cobija,44
2020-06-12,90102,Porvenir,10
2020-06-12,90103,Bolpebra,9
2020-06-13,90101,Cobija,29
2020-06-14,90101,Cobija,19
2020-06-15,90101,Cobija,21
2020-06-16,90101,Cobija,8
2020-06-17,90101,Cobija,71
2020-06-18,90101,Cobija,14
2020-06-18,90102,Porvenir,7
2020-06-18,90203,Filadelfia,2
2020-06-19,90101,Cobija,16
2020-06-20,90101,Cobija,39
2020-06-20,90102,Porvenir,5
2020-06-20,90103,Bolpebra,1
2020-06-20,90203,Filadelfia,6
2020-06-21,90101,Cobija,6
2020-06-22,90101,Cobija,14
2020-06-23,90101,Cobija,7
2020-06-23,90201,Puerto Rico,1
2020-06-23,90401,Santa Rosa,1
2020-06-24,90101,Cobija,2
2020-06-25,90101,Cobija,1
2020-06-25,90303,Sena,5
2020-06-26,90101,Cobija,49
2020-06-27,90101,Cobija,3
2020-06-27,90102,Porvenir,2
2020-06-29,90101,Cobija,1
2020-07-01,90101,Cobija,68
2020-07-02,90101,Cobija,63
2020-07-02,90103,Bolpebra,14
2020-07-03,90101,Cobija,4
2020-07-04,90101,Cobija,86
2020-07-04,90102,Porvenir,3
2020-07-04,90203,Filadelfia,1
2020-07-04,90302,San Lorenzo,1
2020-07-05,90101,Cobija,118
2020-07-05,90102,Porvenir,3
2020-07-05,90103,Bolpebra,1
2020-07-05,90203,Filadelfia,4
2020-07-06,90101,Cobija,71
2020-07-06,90104,Bella Flor,1
2020-07-07,90201,Puerto Rico,4
